park.key,park.name,city,state,country,Average Homeruns Per Game
DET05,Comerica Park,Detroit,MI,US,1.060055
DOV01,Fairview Park Fair Grounds,Dover,DE,US,
ELM01,Maple Avenue Driving Park,Elmira,NY,US,
FOR01,Grand Duchess,Fort Wayne,IN,US,
FOR03,Jailhouse Flats,Fort Wayne,IN,US,
FTB01,Fort Bragg Field,Fort Bragg,NC,US,
GEA01,Geauga Lake Grounds,Geauga Lake,OH,US,
GLO01,Gloucester Point Grounds,Gloucester City,NJ,US,
GRA01,Ramona Park,Grand Rapids,MI,US,
HAR01,Harrison Field,Harrison,NJ,US,
HOB01,Elysian Field,Hoboken,NJ,US,
HON01,Aloha Stadium,Honolulu,HI,US,
HOU01,Colt Stadium,Houston,TX,US,0.487654
HOU02,Astrodome,Houston,TX,US,0.648395
HOU03,Minute Maid Park,Houston,TX,US,1.034722
HRT01,Hartford Ball Club Grounds,Hartford,CT,US,0.028846
HRT02,Hartford Trotting Park,Hartford,CT,US,
IND01,South Street Park,Indianapolis,IN,US,0.047619
IND02,Seventh Street Park I,Indianapolis,IN,US,0.181818
IND03,Bruce Grounds,Indianapolis,IN,US,
IND04,Seventh Street Park II,Indianapolis,IN,US,
IND05,Seventh Street Park III,Indianapolis,IN,US,
IND06,Indianapolis Park,Indianapolis,IN,US,
IND07,Federal League Park,Indianapolis,IN,US,
IRO01,Windsor Beach,Irondequoit,NY,US,
JER01,Oakdale Park,Jersey City,NJ,US,
JER02,Roosevelt Stadium,Jersey City,NJ,US,
KAN01,Athletic Park,Kansas City,MO,US,0.297561
KAN02,Association Park,Kansas City,MO,US,0.154472
KAN03,Exposition Park,Kansas City,MO,US,0.179693
KAN04,Gordon and Koppel Field,Kansas City,MO,US,
KAN05,Municipal Stadium,Kansas City,MO,US,0.718447
KAN06,Kauffman Stadium,Kansas City,MO,US,0.840744
KEO01,Perry Park,Keokuk,IA,US,0
LAS01,Cashman Field,Las Vegas,NV,US,
LBV01,The Ballpark at Disney's Wide World,Lake Buena Vista,FL,US,
LOS01,Los Angeles Memorial Coliseum,Los Angeles,CA,US,0.975728
LOS02,Wrigley Field,Los Angeles,CA,US,1.166667
LOS03,Dodger Stadium,Los Angeles,CA,US,0.816212
LOU01,Louisville Baseball Park,Louisville,KY,US,0.115385
LOU02,Eclipse Park I,Louisville,KY,US,0.139231
LOU03,Eclipse Park II,Louisville,KY,US,0.2393
LOU04,Eclipse Park III,Louisville,KY,US,
LUD01,Ludlow Baseball Park,Ludlow,KY,US,
MAS01,Long Island Grounds,Maspeth,NY,US,
MIA01,Sun Life Stadium,Miami,FL,US,0.919753
MIA02,Marlins Park,Miami,FL,US,0.819773
MID01,Mansfield Club Grounds,Middletown,CT,US,0.083333
MIL01,Milwaukee Base-Ball Grounds,Milwaukee,WI,US,
MIL02,Wright Street Grounds,Milwaukee,WI,US,
MIL03,Athletic Park,Milwaukee,WI,US,0.259843
MIL04,Lloyd Street Grounds,Milwaukee,WI,US,0.18705
MIL05,County Stadium,Milwaukee,WI,US,0.920859
MIL06,Miller Park,Milwaukee,WI,US,1.120232
MIN01,Athletic Park,Minneapolis,MN,US,0.354244
MIN02,Metropolitan Stadium,Bloomington,MN,US,0.823547
MIN03,Hubert H. Humphrey Metrodome,Minneapolis,MN,US,0.857686
MIN04,Target Field,Minneapolis,MN,US,0.939043
MNT01,Estadio Monterrey,Monterrey,Nuevo Leon,MX,
MON01,Parc Jarry,Montreal,QC,CA,0.653995
MON02,Stade Olympique,Montreal,QC,CA,0.793103
NEW01,Howard Avenue Grounds,New Haven,CT,US,
NEW02,Hamilton Park,New Haven,CT,US,0.042553
NEW03,Geauga Lake Grounds,Geauga Lake,OH,US,
NWK01,Wiedenmeyer's Park,Newark,NJ,US,
NYC01,Union Grounds,Brooklyn,NY,US,0.075949
NYC02,Capitoline Grounds,Brooklyn,NY,US,0.027027
NYC03,Polo Grounds I (Southeast Diamond),New York,NY,US,0.259777
NYC04,Polo Grounds II (Southwest Diamond),New York,NY,US,0.289474
NYC05,Washington Park I,Brooklyn,NY,US,0.183099
NYC06,Metropolitan Park,New York,NY,US,
NYC07,Grauer's Ridgewood Park,Queens,NY,US,0.13
NYC08,Washington Park II,Brooklyn,NY,US,0.333333
NYC09,Polo Grounds III,New York,NY,US,0.207038
NYC10,Polo Grounds IV,New York,NY,US,0.633589
NYC11,Eastern Park,Brooklyn,NY,US,0.242204
NYC12,Washington Park III,Brooklyn,NY,US,0.156933
NYC13,Hilltop Park,New York,NY,US,0.126316
NYC14,Polo Grounds V,New York,NY,US,
NYC15,Ebbets Field,Brooklyn,NY,US,0.53636
NYC16,Yankee Stadium I,New York,NY,US,0.902424
NYC17,Shea Stadium,New York,NY,US,0.787462
NYC18,Wallace's Ridgewood Park,Queens,NY,US,
NYC19,Washington Park IV,Brooklyn,NY,US,
NYC20,Citi Field,New York,NY,US,0.921811
NYC21,Yankee Stadium II,New York,NY,US,1.091258
OAK01,Oakland-Alameda County Coliseum,Oakland,CA,US,0.736626
PEN01,East End Park,Cincinnati,OH,US,0.27451
PHI01,Jefferson Street Grounds,Philadelphia,PA,US,0.183877
PHI02,Centennial Park,Philadelphia,PA,US,0
PHI03,Oakdale Park,Philadelphia,PA,US,0.066667
PHI04,Recreation Park,Philadelphia,PA,US,
PHI05,Keystone Park,Philadelphia,PA,US,
PHI06,Huntingdon Grounds I,Philadelphia,PA,US,
PHI07,Forepaugh Park,Philadelphia,PA,US,
PHI08,University of Penn. Athletic Field,Philadelphia,PA,US,0.361111
PHI09,Baker Bowl,Philadelphia,PA,US,0.391372
PHI10,Columbia Park,Philadelphia,PA,US,0.20017
PHI11,Shibe Park,Philadelphia,PA,US,0.466464
PHI12,Veterans Stadium,Philadelphia,PA,US,0.808657
PHI13,Citizens Bank Park,Philadelphia,PA,US,1.082892
PHI14,Huntingdon Grounds II,Philadelphia,PA,US,
PHO01,Chase Field,Phoenix,AZ,US,1.02491
PIT01,Union Park,Pittsburgh,PA,US,0.172386
PIT02,Exposition Park I,Pittsburgh,PA,US,0.175141
PIT03,Exposition Park II,Pittsburgh,PA,US,
PIT04,Recreation Park,Pittsburgh,PA,US,
PIT05,Exposition Park III,Pittsburgh,PA,US,
PIT06,Forbes Field,Pittsburgh,PA,US,0.162338
PIT07,Three Rivers Stadium,Pittsburgh,PA,US,0.767033
PIT08,PNC Park,Pittsburgh,PA,US,0.900763
PRO01,Adelaide Avenue Grounds,Providence,RI,US,
PRO02,Messer Street Grounds,Providence,RI,US,0.135172
RCK01,Agricultural Society Fair Grounds,Rockford,IL,US,0.12
RIC01,Richmond Fair Grounds,Richmond,VA,US,
RIC02,Allens Pasture,Richmond,VA,US,0.155556
ROC01,Culver Field I,Rochester,NY,US,0.233083
ROC02,Culver Field II,Rochester,NY,US,
ROC03,Ontario Beach Grounds,Rochester,NY,US,
SAI01,St. George Cricket Grounds,New York,NY,US,0.141818
SAN01,Qualcomm Stadium,San Diego,CA,US,0.929453
SAN02,PETCO Park,San Diego,CA,US,0.885412
SEA01,Sick's Stadium,Seattle,WA,US,
SEA02,Kingdome,Seattle,WA,US,0.964255
SEA03,Safeco Field,Seattle,WA,US,0.972908
SFO01,Seals Stadium,San Francisco,CA,US,1.094156
SFO02,Candlestick Park,San Francisco,CA,US,0.865017
SFO03,AT&T Park,San Francisco,CA,US,0.786927
SJU01,Estadio Hiram Bithorn,San Juan,,PR,
SPR01,Hampden Park Race Track,Springfield,MA,US,
STL01,Red Stockings Base Ball Park,St. Louis,MO,US,0
STL02,Grand Avenue Park,St. Louis,MO,US,0
STL03,Sportsman's Park I,St. Louis,MO,US,0.223496
STL04,Union Grounds,St. Louis,MO,US,0.074074
STL05,Robison Field,St. Louis,MO,US,0.166625
STL06,Sportsman's Park II,St. Louis,MO,US,
STL07,Sportsman's Park III,St. Louis,MO,US,0.1109
STL08,Handlan's Park,St. Louis,MO,US,
STL09,Busch Stadium II,St. Louis,MO,US,0.703183
STL10,Busch Stadium III,St. Louis,MO,US,0.987133
STP01,Tropicana Field,St. Petersburg,FL,US,1.008956
SYD01,Sydney Cricket Ground,Sydney,New South Wales,AU,
SYR01,Star Park I,Syracuse,NY,US,
SYR02,Star Park II,Syracuse,NY,US,0.110236
SYR03,Iron Pier,Syracuse,NY,US,
THR01,Three Rivers Park,Three Rivers,NY,US,
TOK01,Tokyo Dome,Tokyo,Tokyo,JP,
TOL01,League Park,Toledo,OH,US,0.073394
TOL02,Tri-State Fair Grounds,Toledo,OH,US,
TOL03,Speranza Park,Toledo,OH,US,0.179104
TOL04,Armory Park,Toledo,OH,US,
TOR01,Exhibition Stadium,Toronto,ON,CA,0.852146
TOR02,Rogers Centre,Toronto,ON,CA,1.193257
TRO01,Haymakers' Grounds,Troy,NY,US,
TRO02,Putnam Grounds,Troy,NY,US,0.051948
WAR01,Rocky Point Park,Warwick,RI,US,
WAS01,Olympic Grounds,Washington,DC,US,0.074074
WAS02,National Grounds,Washington,DC,US,0
WAS03,Capitol Grounds,Washington,DC,US,
WAS04,Athletic Park,Washington,DC,US,
WAS05,Swampoodle Grounds,Washington,DC,US,0.244618
WAS06,Boundary Field,Washington,DC,US,0.28266
WAS07,American League Park I,Washington,DC,US,0.233173
WAS08,American League Park II,Washington,DC,US,0.088561
WAS09,Griffith Stadium,Washington,DC,US,0.280405
WAS10,Robert F. Kennedy Stadium,Washington,DC,US,0.796949
WAS11,Nationals Park,Washington,DC,US,1.037083
WAT01,Troy Ball Club Grounds,Watervliet,NY,US,0.141176
WAV01,Waverly Fairgrounds,Waverly,NJ,US,0
WEE01,Monitor Grounds,Weehawken,NJ,US,
WHE01,Island Grounds,Wheeling,WV,US,
WIL01,Union Street Park,Wilmington,DE,US,
WIL02,BB&T Ballpark at Bowman Field,Williamsport,PA,US,
WNY01,West New York Field Club Grounds,West New York,NJ,US,
WOR01,Agricultural County Fair Grounds I,Worcester,MA,US,
WOR02,Agricultural County Fair Grounds II,Worcester,MA,US,
WOR03,Worcester Driving Park Grounds,Worcester,MA,US,0.123016
